JobID,Title,Company,Location,Skills Required
30,Data Analyst,MindStack,Mumbai,"GraphQL, Flask, Redux, Android Studio, GCP"
31,Data Analyst,TechNova Inc.,Mumbai,"MongoDB, C++, Computer Vision, Power BI, NLP"
32,Web Developer,PixelSoft,Bangalore,"Node.js, Swift, GraphQL, Flask, Pandas"
33,Cloud Engineer,CloudMate,Hyderabad,"Docker, Agile, CI/CD, Firebase, Python, Flask"
34,Data Analyst,TechNova Inc.,Chennai,"MySQL, Excel, Swift, React, REST API, Android Studio"
35,DevOps Engineer,Webify,Remote,"Scikit-learn, Bootstrap, REST API, Agile, TensorFlow"
36,AI Researcher,CloudMate,Delhi,"Android Studio, NLP, Computer Vision, Docker, Express"
37,Backend Engineer,DevFlow Labs,Mumbai,"Agile, Computer Vision, CI/CD, Node.js, Docker"
38,Software Engineer,Webify,Chennai,"Django, Flask, NLP, PostgreSQL, Redux"
39,Full Stack Developer,CodeNest,Noida,"Computer Vision, REST API, Bootstrap, React, Redux, NLP"
40,Cloud Engineer,CyberSage,Remote,"Bootstrap, Express, Linux, Scikit-learn, React"
41,Web Developer,DevFlow Labs,Pune,"Scikit-learn, React, MySQL, GCP, Java"
42,Cloud Engineer,QuantumSoft,Chennai,"Redux, Power BI, Linux, JavaScript, Kotlin"
43,AI Researcher,CodeNest,Mumbai,"CI/CD, React, MySQL, Android Studio, JavaScript"
44,Software Engineer,BrainAI,Chennai,"Linux, GraphQL, CSS, CI/CD"
45,AI Researcher,PixelSoft,Kolkata,"Django, Java, Swift, MySQL, Scikit-learn, REST API, Flask"
46,iOS Developer,InsightEdge,Hyderabad,"React, Swift, Node.js, PostgreSQL, Pandas"
47,iOS Developer,DevFlow Labs,Pune,"React, Kubernetes, Docker, PyTorch, Kotlin, Tableau, Linux"
48,Data Analyst,Webify,Remote,"Node.js, Tableau, Kubernetes, MongoDB, AWS, CI/CD"
49,Data Scientist,BrainAI,Pune,"Node.js, CSS, Tableau, NumPy, Java"
50,Backend Engineer,TechNova Inc.,Delhi,"Linux, CSS, Java, Django, CI/CD, REST API, Excel"
51,iOS Developer,AILogic Systems,Delhi,"Azure, JavaScript, Computer Vision, Node.js"
52,Full Stack Developer,MindStack,Chennai,"NumPy, NLP, Azure, Redux, MySQL, Computer Vision"
53,Android Developer,CloudMate,Noida,"MySQL, PyTorch, CI/CD, Kubernetes, Pandas"
54,DevOps Engineer,NextGen Apps,Noida,"REST API, React, Android Studio, C++, Python, GCP, CI/CD"
55,Software Engineer,QuantumSoft,Noida,"CI/CD, Firebase, Redux, Linux"
56,Android Developer,MindStack,Hyderabad,"Swift, Docker, REST API, Excel, Scrum, MongoDB"
57,Product Manager,NextGen Apps,Chennai,"NumPy, Redux, AWS, CSS, Scikit-learn"
58,Software Engineer,MindStack,Pune,"Kotlin, Django, GraphQL, PostgreSQL, Android Studio, NLP"
59,Machine Learning Engineer,QuantumSoft,Mumbai,"Agile, Linux, Kubernetes, Node.js"
60,AI Researcher,Webify,Bangalore,"MongoDB, MySQL, Python, Scikit-learn, AWS"
61,Android Developer,BlueCloud,Noida,"React, Java, CSS, Docker"
62,Data Analyst,AppHive,Delhi,"Redux, GCP, Flask, Kubernetes"
63,DevOps Engineer,BlueCloud,Chennai,"Kubernetes, CSS, CI/CD, HTML"
64,Data Analyst,CloudMate,Hyderabad,"Android Studio, Python, NumPy, MongoDB, Flask"
65,Full Stack Developer,Webify,Kolkata,"Firebase, Tableau, Node.js, Swift, CSS"
66,Data Scientist,BrainAI,Kolkata,"PostgreSQL, GCP, NLP, Scikit-learn, Swift, Express"
67,Cloud Engineer,Webify,Noida,"HTML, PyTorch, JavaScript, MongoDB"
68,iOS Developer,AILogic Systems,Delhi,"Express, Firebase, Docker, Computer Vision, Excel, Python, GCP"
69,Full Stack Developer,MindStack,Mumbai,"GraphQL, Express, Scrum, Agile, Computer Vision"
70,AI Researcher,BlueCloud,Noida,"Node.js, Pandas, Agile, AWS, Computer Vision, MongoDB, CI/CD"
71,Frontend Developer,NextGen Apps,Mumbai,"Excel, Agile, CSS, Android Studio, Python, Firebase"
72,Cloud Engineer,CloudMate,Mumbai,"Express, Android Studio, Node.js, Firebase, Flask, React, REST API"
73,Security Analyst,PixelSoft,Hyderabad,"Scrum, Computer Vision, Docker, Kubernetes"
74,Cloud Engineer,AppHive,Chennai,"Swift, React, Django, Agile"
75,Backend Engineer,QuantumSoft,Kolkata,"Firebase, Pandas, Express, MySQL"
76,Software Engineer,MindStack,Chennai,"Kubernetes, CI/CD, AWS, Scikit-learn, PostgreSQL, NumPy"
77,Machine Learning Engineer,CloudMate,Chennai,"Scikit-learn, Pandas, HTML, Power BI, Agile, Python, PyTorch"
78,iOS Developer,CyberSage,Hyderabad,"GCP, NumPy, Android Studio, Redux, Pandas, Firebase, Docker"
79,Android Developer,NextGen Apps,Mumbai,"Bootstrap, MongoDB, Agile, Computer Vision"
80,AI Researcher,DevFlow Labs,Hyderabad,"Redux, Bootstrap, Swift, REST API, Agile, Node.js, Express"
81,Software Engineer,AILogic Systems,Mumbai,"Docker, Kotlin, React, HTML, GCP, Kubernetes"
82,Security Analyst,PixelSoft,Noida,"Linux, Computer Vision, Pandas, NumPy, GraphQL"
83,Product Manager,CodeNest,Mumbai,"REST API, React, Bootstrap, Firebase"
84,DevOps Engineer,CodeNest,Mumbai,"Excel, TensorFlow, Agile, Azure, GCP, Scrum, Flask"
85,Data Analyst,TechNova Inc.,Hyderabad,"NLP, Excel, NumPy, GraphQL"
86,Frontend Developer,NextGen Apps,Remote,"Android Studio, Tableau, PostgreSQL, GraphQL, Kotlin"
87,Cloud Engineer,Webify,Chennai,"Azure, MongoDB, TensorFlow, Android Studio, MySQL"
88,Cloud Engineer,CloudMate,Delhi,"Scikit-learn, Computer Vision, Java, AWS, Python, Redux, Tableau"
89,Frontend Developer,PixelSoft,Bangalore,"Node.js, C++, Excel, Scikit-learn, Bootstrap, PyTorch"
90,AI Researcher,BlueCloud,Hyderabad,"Tableau, GCP, NumPy, TensorFlow, Excel, React"
91,DevOps Engineer,BrainAI,Delhi,"Pandas, CI/CD, Agile, NumPy, Flask, JavaScript, Bootstrap"
92,iOS Developer,QuantumSoft,Delhi,"Flask, GCP, Pandas, Computer Vision, Express, Power BI"
93,Data Scientist,TechNova Inc.,Noida,"GCP, NumPy, AWS, Java, Kotlin, CI/CD"
94,Full Stack Developer,NextGen Apps,Bangalore,"Redux, TensorFlow, Bootstrap, Excel"
95,Data Analyst,AppHive,Pune,"Excel, PyTorch, C++, PostgreSQL, Scrum, Flask, GCP"
96,Full Stack Developer,CloudMate,Chennai,"REST API, MongoDB, JavaScript, PyTorch"
97,Web Developer,BlueCloud,Remote,"Python, CI/CD, PyTorch, Agile, Kubernetes, Azure"
98,Full Stack Developer,QuantumSoft,Delhi,"Java, Docker, Django, Kotlin, Scrum, C++, TensorFlow"
99,Frontend Developer,CodeNest,Remote,"Scikit-learn, Tableau, CSS, Firebase, C++"
100,Data Scientist,NextGen Apps,Mumbai,"CI/CD, Docker, HTML, Django, Express, Python"
101,AI Researcher,Webify,Mumbai,"Firebase, Swift, Computer Vision, AWS, PostgreSQL, Excel, Kotlin"
102,Android Developer,BlueCloud,Hyderabad,"Express, Bootstrap, Android Studio, Node.js"
103,AI Researcher,QuantumSoft,Kolkata,"Kotlin, Node.js, GCP, Computer Vision, Azure"
104,Android Developer,AILogic Systems,Hyderabad,"Android Studio, Redux, Docker, Swift, Java"
105,AI Researcher,BrainAI,Remote,"CI/CD, GraphQL, MongoDB, AWS, Node.js"
106,Machine Learning Engineer,CodeNest,Remote,"Azure, HTML, GraphQL, CI/CD"
107,AI Researcher,Webify,Hyderabad,"PyTorch, Scrum, Python, NLP"
108,Data Analyst,AILogic Systems,Chennai,"Docker, CSS, MySQL, Tableau"
109,Data Scientist,InsightEdge,Pune,"Docker, C++, NumPy, Express, Agile, Python, Flask"
110,Machine Learning Engineer,DevFlow Labs,Noida,"C++, Flask, Excel, Express, Java"
111,Product Manager,NextGen Apps,Chennai,"AWS, Kotlin, TensorFlow, CI/CD, Linux, MongoDB, Java"
112,Product Manager,NextGen Apps,Mumbai,"Scikit-learn, CSS, Pandas, Agile, JavaScript"
113,iOS Developer,AppHive,Delhi,"HTML, Linux, Kotlin, Computer Vision"
114,Data Scientist,CloudMate,Delhi,"HTML, GCP, Computer Vision, AWS"
115,Backend Engineer,DevFlow Labs,Delhi,"Firebase, Flask, Node.js, Django, Python, TensorFlow, Bootstrap"
116,Data Scientist,QuantumSoft,Delhi,"NLP, PostgreSQL, Redux, Firebase, PyTorch, Computer Vision, CI/CD"
117,Full Stack Developer,CodeNest,Mumbai,"Docker, React, Computer Vision, Agile, Redux"
118,Frontend Developer,CloudMate,Mumbai,"AWS, Node.js, Kubernetes, GCP, MongoDB, Scikit-learn"
119,Cloud Engineer,DevFlow Labs,Chennai,"AWS, React, Node.js, GCP, Tableau"
120,Android Developer,NextGen Apps,Mumbai,"React, NLP, Python, Tableau, Firebase, Docker, REST API"
121,Frontend Developer,ByteCraft,Visakhapatnam,"kotlin, python"
122,IT Support Specialist,CodeCatalyst,Chandigarh,"microsoft azure, web scraping, c++"
123,Frontend Developer,CloudMatrix,Nagpur,"image processing, product management"
124,Database Administrator,AppWorks,Jaipur,"virtual reality, node.js, testing"
125,Cloud Architect,InnoTech,Visakhapatnam,"natural language processing, deep learning"
126,Product Manager,Visionary Labs,Nagpur,"java, html, product management"
127,Site Reliability Engineer,ByteCraft,Pune,"testing, performance tuning"
128,Frontend Developer,SoftSphere,Jaipur,"sql, javascript"
129,DevOps Engineer,QuantumCore,Nagpur,"docker, cybersecurity"
130,Cybersecurity Specialist,QuantumCore,Pune,"database management, docker"
131,Blockchain Developer,QuantumCore,Indore,"agile methodology, dart, mobile development"
132,Cybersecurity Specialist,AppWorks,Ahmedabad,"oracle, redux"
133,Database Administrator,NeuralSoft,Mumbai,"web scraping, ml"
134,Frontend Developer,DataNexus,Chandigarh,"virtual reality, data mining"
135,AI Researcher,NeuralSoft,Chennai,"image processing, microsoft azure"
136,Technical Writer,CloudMatrix,Pune,"image processing, linux, augmented reality"
137,Blockchain Developer,InnoTech,Chennai,"angular, windows server"
138,Cybersecurity Specialist,Visionary Labs,Lucknow,"cloud computing, sap"
139,Technical Writer,QuantumCore,Lucknow,"redux, virtual reality"
140,Blockchain Developer,DataNexus,Lucknow,"database management, flutter"
141,Cloud Architect,SoftSphere,Chandigarh,"vue.js, nlp, ml"
142,DevOps Engineer,QuantumCore,Ahmedabad,"docker, cloud computing"
143,IT Support Specialist,CloudMatrix,Mumbai,"typescript, mobile development"
144,Cloud Architect,SoftSphere,Lucknow,"lean, salesforce"
145,Product Manager,DataNexus,Ahmedabad,"ml, sql, python"
146,Database Administrator,DataNexus,Indore,"vue.js, kotlin"
147,Technical Writer,Visionary Labs,Indore,"css, cybersecurity"
148,Frontend Developer,ByteCraft,Visakhapatnam,"swift, flutter, javascript"
149,Frontend Developer,QuantumCore,Pune,"nlp, c++, react native"
150,AI Researcher,CloudMatrix,Mumbai,"flutter, ruby, javascript"
151,Site Reliability Engineer,AppWorks,Mumbai,"vue.js, web development, agile project management"
152,AI Researcher,QuantumCore,Chennai,"agile project management, docker"
153,Cybersecurity Specialist,ByteCraft,Nagpur,"docker, data analysis, agile project management"
154,IT Support Specialist,ByteCraft,Ahmedabad,"graphql, angular, ml"
155,Mobile App Developer,ByteCraft,Pune,"java, computer vision"
156,Database Administrator,InnoTech,Nagpur,"vue.js, product management"
157,Cloud Architect,InnoTech,Nagpur,"virtual reality, natural language processing"
158,Frontend Developer,QuantumCore,Mumbai,"performance tuning, artificial intelligence, java"
159,Blockchain Developer,Visionary Labs,Chennai,"agile methodology, networking"
160,UI/UX Designer,NeuralSoft,Ahmedabad,"lean, machine learning"
161,Cybersecurity Specialist,AppWorks,Chandigarh,"dart, devops"
162,Cybersecurity Specialist,NeuralSoft,Chandigarh,"javascript, typescript"
163,Database Administrator,Visionary Labs,Mumbai,"sap, agile methodology, microsoft azure"
164,UI/UX Designer,InnoTech,Pune,"sql, natural language processing"
165,Data Analyst,NeuralSoft,Lucknow,"mobile development, typescript"
166,Product Manager,AppWorks,Ahmedabad,"data analysis, ruby"
167,Frontend Developer,CodeCatalyst,Chennai,"networking, natural language processing, testing"
168,IT Support Specialist,NeuralSoft,Lucknow,"redux, ui/ux design"
169,AI Researcher,AppWorks,Lucknow,"microsoft azure, typescript, kotlin"
170,UI/UX Designer,NeuralSoft,Chennai,"python, docker"
171,DevOps Engineer,DataNexus,Visakhapatnam,"python, blockchain"
172,Blockchain Developer,NeuralSoft,Jaipur,"vue.js, ruby"
173,Mobile App Developer,CodeCatalyst,Chandigarh,"javascript, cybersecurity, swift"
174,Data Analyst,ByteCraft,Lucknow,"html, vue.js"
175,AI Researcher,SoftSphere,Lucknow,"react native, c++, networking"
176,Cloud Architect,Visionary Labs,Chandigarh,"microsoft azure, data analysis, scrum"
177,Frontend Developer,CodeCatalyst,Jaipur,"dart, machine learning"
178,Product Manager,CloudMatrix,Nagpur,"windows server, virtual reality"
179,IT Support Specialist,Visionary Labs,Chennai,"natural language processing, machine learning"
180,Product Manager,AppWorks,Jaipur,"typescript, mongodb, deep learning"
181,DevOps Engineer,InnoTech,Mumbai,"internet of things, cloud computing, microsoft azure"
182,Mobile App Developer,NeuralSoft,Pune,"computer vision, react"
183,Cybersecurity Specialist,CloudMatrix,Jaipur,"web development, cloud computing, oracle"
184,DevOps Engineer,ByteCraft,Ahmedabad,"css, internet of things"
185,Data Analyst,NeuralSoft,Chennai,"lean, agile project management, blockchain"
186,Cybersecurity Specialist,CloudMatrix,Indore,"natural language processing, microsoft azure"
187,Cloud Architect,NeuralSoft,Ahmedabad,"automation, angular, javascript"
188,AI Researcher,AppWorks,Chandigarh,"agile project management, big data, kotlin"
189,AI Researcher,CodeCatalyst,Chandigarh,"html, mongodb"
190,Cybersecurity Specialist,AppWorks,Mumbai,"git, data analysis, graphql"
191,Data Analyst,CodeCatalyst,Nagpur,"php, typescript"
192,IT Support Specialist,NeuralSoft,Pune,"nlp, javascript, sql"
193,Database Administrator,QuantumCore,Jaipur,"machine learning, javascript"
194,UI/UX Designer,CloudMatrix,Pune,"devops, react, web scraping"
195,DevOps Engineer,SoftSphere,Pune,"docker, lean"
196,DevOps Engineer,CodeCatalyst,Visakhapatnam,"virtual reality, docker, automation"
197,UI/UX Designer,CloudMatrix,Chennai,"mobile development, cybersecurity, data visualization"
198,Frontend Developer,Visionary Labs,Visakhapatnam,"typescript, vue.js"
199,Cloud Architect,DataNexus,Visakhapatnam,"augmented reality, react native, flutter"
200,Site Reliability Engineer,CloudMatrix,Ahmedabad,"oracle, amazon web services, machine learning"
201,UI/UX Designer,SoftSphere,Visakhapatnam,"react native, data analysis"
202,Mobile App Developer,CodeCatalyst,Jaipur,"sql, cybersecurity, sap"
203,Database Administrator,SoftSphere,Chandigarh,"automation, microsoft azure, javascript"
204,Mobile App Developer,CodeCatalyst,Visakhapatnam,"c++, angular"
205,DevOps Engineer,SoftSphere,Chennai,"graphql, cybersecurity"
206,AI Researcher,Visionary Labs,Indore,"kanban, cloud computing"
207,Database Administrator,ByteCraft,Ahmedabad,"kanban, graphql"
208,Database Administrator,Visionary Labs,Jaipur,"windows server, swift, natural language processing"
209,Product Manager,QuantumCore,Lucknow,"c#, restful apis, testing"
210,AI Researcher,Visionary Labs,Chennai,"javascript, react native"
211,Cybersecurity Specialist,AppWorks,Ahmedabad,"kubernetes, graphql"
212,UI/UX Designer,QuantumCore,Pune,"image processing, ml, agile project management"
213,Frontend Developer,QuantumCore,Chennai,"react native, microsoft azure, typescript"
214,Frontend Developer,NeuralSoft,Jaipur,"html, react native, kotlin"
215,UI/UX Designer,SoftSphere,Chandigarh,"dart, java"
216,Database Administrator,Visionary Labs,Nagpur,"machine learning, restful apis, blockchain"
217,Technical Writer,DataNexus,Indore,"java, flutter"
218,Cloud Architect,ByteCraft,Ahmedabad,"deep learning, web development, php"
219,Data Analyst,InnoTech,Pune,"php, deep learning, c#"
220,Product Manager,AppWorks,Chennai,"kubernetes, graphql"
221,AI Researcher,NeuralSoft,Chandigarh,"flutter, kanban, amazon web services"
222,Database Administrator,QuantumCore,Mumbai,"ruby, data mining"
223,Site Reliability Engineer,CodeCatalyst,Ahmedabad,"internet of things, big data, swift"
224,Frontend Developer,NeuralSoft,Mumbai,"amazon web services, c#"
225,Cybersecurity Specialist,InnoTech,Nagpur,"kanban, mongodb"
226,UI/UX Designer,CloudMatrix,Jaipur,"networking, sap"
227,Site Reliability Engineer,InnoTech,Chandigarh,"cloud computing, ruby"
228,Blockchain Developer,AppWorks,Indore,"virtual reality, machine learning, performance tuning"
229,Cloud Architect,CodeCatalyst,Lucknow,"node.js, networking, machine learning"
230,Product Manager,InnoTech,Visakhapatnam,"html, sap"
231,DevOps Engineer,QuantumCore,Nagpur,"kubernetes, php"
232,Cybersecurity Specialist,CloudMatrix,Pune,"react native, oracle, angular"
233,Product Manager,NeuralSoft,Lucknow,"kubernetes, salesforce"
234,Technical Writer,CloudMatrix,Chandigarh,"internet of things, c++, google cloud platform"
235,Cybersecurity Specialist,CodeCatalyst,Indore,"testing, graphql"
236,Mobile App Developer,CloudMatrix,Nagpur,"restful apis, amazon web services, linux"
237,Data Analyst,SoftSphere,Chandigarh,"python, sql, redux"
238,Cloud Architect,NeuralSoft,Nagpur,"linux, c#"
239,Product Manager,AppWorks,Nagpur,"css, nlp"
240,Data Analyst,CloudMatrix,Mumbai,"blockchain, windows server"
241,Mobile App Developer,CloudMatrix,Pune,"kotlin, ml, flutter"
242,Blockchain Developer,CodeCatalyst,Lucknow,"sql, computer vision"
243,DevOps Engineer,CodeCatalyst,Nagpur,"javascript, typescript, nlp"
244,Cloud Architect,CodeCatalyst,Visakhapatnam,"machine learning, sql, restful apis"
245,IT Support Specialist,NeuralSoft,Jaipur,"agile methodology, devops, vue.js"
246,IT Support Specialist,QuantumCore,Chandigarh,"typescript, javascript, performance tuning"
247,Cloud Architect,QuantumCore,Chennai,"sql, data mining"
248,Mobile App Developer,CodeCatalyst,Jaipur,"big data, swift"
249,Cloud Architect,NeuralSoft,Ahmedabad,"css, database management"
250,Frontend Developer,CloudMatrix,Pune,"cybersecurity, kubernetes"
251,Frontend Developer,CodeCatalyst,Chennai,"web scraping, big data"
252,Site Reliability Engineer,QuantumCore,Visakhapatnam,"python, automation, cloud computing"
253,Frontend Developer,CloudMatrix,Indore,"java, machine learning, data analysis"
254,Cybersecurity Specialist,InnoTech,Lucknow,"virtual reality, python, networking"
255,UI/UX Designer,CodeCatalyst,Nagpur,"php, angular"
256,Site Reliability Engineer,CloudMatrix,Chennai,"image processing, c#"
257,Cloud Architect,DataNexus,Pune,"html, artificial intelligence, data mining"
258,DevOps Engineer,Visionary Labs,Lucknow,"react native, big data"
259,Mobile App Developer,CloudMatrix,Chandigarh,"redux, amazon web services"
260,Cybersecurity Specialist,ByteCraft,Mumbai,"flutter, virtual reality"
261,IT Support Specialist,InnoTech,Chandigarh,"swift, typescript, web development"
262,Cloud Architect,CodeCatalyst,Nagpur,"angular, agile project management, typescript"
263,IT Support Specialist,SoftSphere,Visakhapatnam,"web development, oracle"
264,Data Analyst,InnoTech,Lucknow,"amazon web services, machine learning"
265,Product Manager,AppWorks,Visakhapatnam,"natural language processing, augmented reality"
266,Cybersecurity Specialist,NeuralSoft,Jaipur,"google cloud platform, git"
267,Technical Writer,InnoTech,Pune,"agile methodology, database management"
268,Cybersecurity Specialist,AppWorks,Chandigarh,"typescript, augmented reality, c#"
269,Mobile App Developer,NeuralSoft,Lucknow,"performance tuning, react native"
270,Cloud Architect,NeuralSoft,Jaipur,"sap, react native"
271,Technical Writer,ByteCraft,Chandigarh,"web development, dart, redux"
272,Blockchain Developer,Visionary Labs,Mumbai,"web scraping, react, html"
273,IT Support Specialist,DataNexus,Indore,"cloud computing, vue.js, data mining"
274,Database Administrator,Visionary Labs,Visakhapatnam,"angular, sql, blockchain"
275,Frontend Developer,Visionary Labs,Jaipur,"git, microsoft azure"
276,Blockchain Developer,InnoTech,Visakhapatnam,"javascript, amazon web services, artificial intelligence"
277,Technical Writer,Visionary Labs,Pune,"php, data visualization"
278,Product Manager,AppWorks,Indore,"node.js, react native, networking"
279,IT Support Specialist,DataNexus,Indore,"vue.js, flutter"
280,Frontend Developer,CodeCatalyst,Ahmedabad,"javascript, lean"
281,AI Researcher,NeuralSoft,Chennai,"ml, internet of things, javascript"
282,Data Analyst,Visionary Labs,Lucknow,"computer vision, dart, c++"
283,Cybersecurity Specialist,DataNexus,Jaipur,"windows server, mongodb, typescript"
284,Frontend Developer,InnoTech,Ahmedabad,"docker, angular, amazon web services"
285,Blockchain Developer,Visionary Labs,Pune,"react native, web development"
286,IT Support Specialist,QuantumCore,Chandigarh,"database management, python, swift"
287,Database Administrator,CloudMatrix,Ahmedabad,"computer vision, graphql, web development"
288,IT Support Specialist,Visionary Labs,Jaipur,"html, python"
289,Cloud Architect,SoftSphere,Chandigarh,"amazon web services, kanban"
290,Frontend Developer,AppWorks,Chennai,"salesforce, networking"
291,Database Administrator,NeuralSoft,Lucknow,"automation, sap"
292,IT Support Specialist,Visionary Labs,Pune,"web development, java"
293,IT Support Specialist,InnoTech,Ahmedabad,"salesforce, php"
294,Cybersecurity Specialist,ByteCraft,Nagpur,"testing, redux"
295,UI/UX Designer,CodeCatalyst,Pune,"php, git, augmented reality"
296,Blockchain Developer,CloudMatrix,Ahmedabad,"git, flutter"
297,Frontend Developer,CodeCatalyst,Ahmedabad,"html, graphql, flutter"
298,UI/UX Designer,QuantumCore,Pune,"angular, graphql"
299,UI/UX Designer,CloudMatrix,Lucknow,"html, docker, java"
300,Cloud Architect,NeuralSoft,Jaipur,"agile methodology, react native"
301,AI Researcher,CodeCatalyst,Mumbai,"blockchain, cybersecurity"
302,Data Analyst,CloudMatrix,Visakhapatnam,"automation, cybersecurity"
303,UI/UX Designer,InnoTech,Indore,"product management, docker, typescript"
304,Technical Writer,AppWorks,Ahmedabad,"blockchain, machine learning, computer vision"
305,Technical Writer,DataNexus,Mumbai,"nlp, sql, react native"
306,Database Administrator,DataNexus,Jaipur,"graphql, php, javascript"
307,UI/UX Designer,CloudMatrix,Chennai,"vue.js, deep learning, linux"
308,Cybersecurity Specialist,AppWorks,Chennai,"ruby, big data, node.js"
309,Cloud Architect,CodeCatalyst,Chennai,"cybersecurity, big data, performance tuning"
310,IT Support Specialist,QuantumCore,Ahmedabad,"docker, web scraping, automation"
311,Database Administrator,QuantumCore,Visakhapatnam,"oracle, big data, testing"
312,Cybersecurity Specialist,DataNexus,Jaipur,"typescript, scrum, windows server"
313,UI/UX Designer,CloudMatrix,Mumbai,"data mining, graphql, dart"
314,Database Administrator,NeuralSoft,Ahmedabad,"networking, linux, web development"
315,AI Researcher,Visionary Labs,Ahmedabad,"docker, graphql, kotlin"
316,Cloud Architect,NeuralSoft,Lucknow,"google cloud platform, ruby, c#"
317,Product Manager,QuantumCore,Lucknow,"docker, flutter, ml"
318,Technical Writer,QuantumCore,Pune,"sap, react native"
319,Database Administrator,InnoTech,Jaipur,"linux, augmented reality, dart"
320,Data Analyst,Visionary Labs,Jaipur,"sap, mobile development"
321,Cloud Architect,SoftSphere,Jaipur,"virtual reality, networking"
322,UI/UX Designer,QuantumCore,Lucknow,"cybersecurity, machine learning"
323,Blockchain Developer,Visionary Labs,Chandigarh,"amazon web services, ml, ruby"
324,IT Support Specialist,SoftSphere,Chandigarh,"automation, internet of things, artificial intelligence"
325,Technical Writer,CodeCatalyst,Mumbai,"cybersecurity, microsoft azure"
326,Data Analyst,SoftSphere,Mumbai,"mobile development, testing, mongodb"
327,Frontend Developer,Visionary Labs,Ahmedabad,"scrum, linux, oracle"
328,IT Support Specialist,SoftSphere,Ahmedabad,"kanban, sap"
329,IT Support Specialist,CloudMatrix,Pune,"machine learning, performance tuning, php"
330,AI Researcher,ByteCraft,Pune,"sql, performance tuning"
331,Database Administrator,ByteCraft,Chandigarh,"computer vision, angular, node.js"
332,Cybersecurity Specialist,CloudMatrix,Chandigarh,"javascript, kotlin"
333,Cybersecurity Specialist,CloudMatrix,Visakhapatnam,"python, product management, cloud computing"
334,Technical Writer,QuantumCore,Chandigarh,"scrum, linux"
335,Technical Writer,QuantumCore,Chennai,"computer vision, flutter, oracle"
336,Data Analyst,CodeCatalyst,Lucknow,"typescript, dart"
337,Frontend Developer,AppWorks,Visakhapatnam,"kubernetes, ui/ux design, typescript"
338,Site Reliability Engineer,CodeCatalyst,Chennai,"c++, virtual reality"
339,Frontend Developer,ByteCraft,Jaipur,"cloud computing, kotlin, react native"
340,Product Manager,InnoTech,Mumbai,"angular, performance tuning, augmented reality"
